Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Angelaw,https://angelaw.fr,Seed,,1506582.59,2023-01-27,,Paris,"321, August & Debouzy",LegalTech
Octo Gaming,http://octo-gaming.com,Seed,,1497581.3,2023-03-27,,"Mont-saint-aignan, Haute-Normandie, France, Europe","Alpha Ventures, Solana Foundation",Gaming
Dionymer,https://www.dionymer.com/,Seed,,1495908.17,2023-12-05,,"Pessac, Aquitaine, France, Europe","ADI Nouvelle-Aquitaine, AFI Ventures, AQUITI Gestion, IRDI SORIDEC Gestion, Resiliance",Other
Charlie solutions,https://www.charlie-solutions.com/,Seed,,1495473.95,2023-09-04,,Lille,"Finovam Gestion, IRD INVEST, Nord France Amorcage",Hardware
Irrigeasy,https://www.irrigeasy.com,Seed,,1494941.8,2023-09-01,,Marseille,Founders Ventures,Other
ExtraStudent,https://www.extrastudent.com/,Seed,,1494186.99,2023-06-08,,Paris,"Adrien Montfort, Benjamin Griveaux, Carlo Purassanta, Groupe M6, Michael Benabou, Pascal Chevalier",Other
Omny,https://www.get-omny.com/#Footer,Seed,,1491909.65,2023-01-11,,Paris,"Founders Future, Kima Ventures",E-commerce & Retail
Optimiz Construction,https://www.optimiz-construction.fr/,Seed,,1491480.97,2023-06-12,,Paris,"AFI Ventures, Alexandre Brochot, Jérôme Manuguerra, Kima Ventures, Nicolas Mondollot, SistaFund","ClimateTech, DeepTech"
Riverse,https://www.riverse.io,Seed,,1491224.13,2023-06-01,,Lyon,"Andreas Wiele, Eric Bergé, Evolem Start, Speedinvest, Stephan Rohr, Techstars, Tobias Lechtenfeld","FinTech, ClimateTech, Mobility"
Bary,https://www.bary.app/,Seed,,1487354.03,2023-01-09,,Bordeaux,B2PWeb,"Mobility, FoodTech"
Semana,https://www.semana.io/,Seed,,1486126.2,2023-09-06,,Paris,"Faraday Venture Partners, Guillaume Sarkozy, Jean-Luc Barbier, One Green, Super Capital VC","SaaS, SpaceTech & Aerospace"
Anyos,https://www.anyos.fr/,Seed,,1476083.7,2023-02-21,,Toulouse,"Bpifrance, Crédit Industriel et Commercial, NMP Development, OCSEED","Artificial Intelligence, Energy, Mobility"
Mimbi,https://www.mimbi.io,Seed,,1473811.9,2023-09-14,,Paris,"Better Angle, Founders Future, Frederic Halley, Kima Ventures, OVNI Capital","Artificial Intelligence, MedTech, Entertainment, MarTech, E-commerce & Retail"
Nonna Lab,https://nonnalab.com/,Seed,,1466232.45,2023-09-29,,Paris,Bpifrance,FoodTech
Abyssale,https://www.abyssale.com/?utm_source=crunchbase&utm_medium=website&utm_campaign=abyssale_company,Seed,,1464296.01,2023-10-25,,Paris,"Aglaé Ventures, Founders Future","BioTech, MedTech, Entertainment, MarTech"
50inTech,https://www.50intech.com,Seed,,1463972.65,2023-10-26,,Paris,"Alexandre Fretti, Alma Angels, Altalurra Ventures, Ankh Impact Ventures, Corinne Vigreux, Evolem Start, Florian Douetteau, Gimena Diaz, INCO Ventures, Super Capital VC",Artificial Intelligence
Unipile,https://www.unipile.com,Seed,,1461861.6,2023-03-07,,"Riorges, Rhone-Alpes, France, Europe",Bpifrance,Other
