Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
Reveal,"Paris, Ile-de-France, France, Europe",Series A,50000000,USD,2022-04-27,https://www.reveal.co,"Reveal is the free platform for Partnership, Marketing, and Sales teams to generate revenue through their ecosystem.","Chalfen Ventures, DIG Ventures, Eight Roads Ventures, Insight Partners, Kernel Investissements, LocalGlobe, Ventech","B2B, SaaS, Software",
Pennylane,"Paris, Ile-de-France, France, Europe",Series B,50000000,EUR,2022-01-31,https://www.pennylane.com,"Pennylane is an accounting and financial management platform centralising accounting, invoicing, cash flow tracking, and expense workflows.","Didier Valet, Discovery Ventures, Global Founders Capital, Hedosophia, Partech, Sequoia Capital","Accounting, Finance, Financial Services, FinTech, Software",
Prophesee,"Paris, Ile-de-France, France, Europe",Series C,48300000,EUR,2022-09-22,https://www.prophesee.ai/,Prophesee is the inventor of the world’s most advanced neuromorphic vision systems.,"360 Capital, Bosch Ventures, iBionext, Prosperity7 Ventures, Sinovation Ventures, Supernova Invest, Xiaomi","Artificial Intelligence (AI), Automotive, Drones, Industrial Automation, Internet of Things, Mobile, Sensor",
GOURMEY,"Paris, Ile-de-France, France, Europe",Series A,48000000,EUR,2022-10-05,https://gourmey.com,We create sustainable cultivated meat delights for an uncompromising and conscious generation.,"Air Street Capital, Beyond Impact, Bpifrance, Discovery Ventures, Earlybird Venture Capital, Eutopia VC, Fidji Simo, Heartcore Capital, Keen Venture Partners, Omnes Capital, Partech, Point Nine, Thia Ventures","Alternative Protein, Food and Beverage, Life Science",
UnitySC,"Montbonnot-saint-martin, Rhone-Alpes, France, Europe",,48000000,EUR,2022-06-01,http://www.unity-sc.com,UnitySC develops metrology and inspection tools for the semiconductor industry.,"Bpifrance, Jolt Capital, Supernova Invest","Manufacturing, Semiconductor",
Tricares,"Paris, Ile-de-France, France, Europe",Series C,47000000,EUR,2022-09-15,http://www.tricares.com,"TRiCares is a medical device company, devoted to developing a catheter-based valve replacement system.","415 Capital, Andera Partners, BioMedPartners, Crédit Mutuel Innovation, GO CAPITAL, Karista, Wellington Partners","Health Care, Medical, Medical Device",
Kyotherm,"Paris, Ile-de-France, France, Europe",Growth Equity,45000000,EUR,2022-02-28,http://www.kyotherm.com/en/,Kyotherm  provide project capital to finance renewable heating and energy savings projects.,"Andera Partners, Bpifrance, Ciclad, Johes, Noria Invest, Starquest Capital","Finance, Financial Services, FinTech, Solar",
Weglot,"Paris, Ile-de-France, France, Europe",Series A,45000000,EUR,2022-03-24,https://weglot.com,"Weglot is a no-code translation solution for websites, offering a simple and user-friendly interface for website users.",Partech,"Developer APIs, Internet, Software, Translation Service, Web Development",
Combo,"Paris, Ile-de-France, France, Europe",Series A,45000000,USD,2022-02-03,https://combohr.com,"Combo is a human resources software made for operational teams, offering enhanced visibility, compliance, and performance.","Bpifrance, Highland Europe, UL Invest","Human Resources, Information Technology, Recruiting, Software",
TEHTRIS,"Pessac, Aquitaine, France, Europe",Series B,44000000,EUR,2022-10-12,https://tehtris.com/,TEHTRIS is a cybersecurity leader,"AQUITI Gestion, Jolt Capital, Open CNP, Tikehau Ace Capital","Cloud Security, Consulting, Cyber Security, Intrusion Detection, Network Security, Penetration Testing",
